Serial_number,page 1,page 2,page 3,page 4,page 5,desired page score,Scaled ,Final
63,0,28.57026931,14.28639797,28.5745535,28.56877922,28.56877922,2.856877922,2.86
64,0,33.33251953,0,33.33496094,33.33251953,33.33251953,3.333251953,3.33
65,0,33.33435059,0,33.33129883,33.33435059,33.33435059,3.333435059,3.33
66,0,40.00128623,0,39.99663261,20.00208116,20.00208116,2.000208116,2
67,0,4.77E-06,19.99804497,39.99804497,40.0039053,40.0039053,4.00039053,4
68,0,0,0,0,100,100,10,10
69,0,0,19.99816895,40.0012207,40.00061035,40.00061035,4.000061035,4
70,0,0.00244140625,0.00244140625,0.00244140625,99.99267578,99.99267578,9.999267578,10
71,9.197242769,25.27921412,17.24705958,20.68686599,27.58961754,27.58961754,2.758961754,2.76
72,12.30758697,16.92204647,23.07796544,10.77037847,36.92202265,36.92202265,3.692202265,3.69
73,13.11485482,24.5883702,4.919231539,18.03408636,39.34345708,39.34345708,3.934345708,3.93
74,6.254114992,28.11744648,23.43814896,28.12331451,14.06697505,14.06697505,1.406697505,1.41
75,4.649156359,32.55923248,20.93312996,27.9076625,13.9508187,13.9508187,1.39508187,1.4
76,14.28471746,28.56835134,0.003048315806,14.28776578,42.85611711,42.85611711,4.285611711,4.29
77,0,42.85708162,14.28583676,14.28583676,28.57124486,28.57124486,2.857124486,2.86
78,0,49.99957662,0.0008467543904,0.0008467543904,49.99872987,49.99872987,4.999872987,5
79,11.1126829,33.33230929,33.33230929,11.11001562,11.1126829,11.1126829,1.11126829,1.11
80,9.994246618,30.00403984,30.00403984,10.002522,19.9951517,19.9951517,1.99951517,2
81,0,0.003653746369,4.18E-06,0,99.99634207,99.99634207,9.999634207,10
82,0,0.003653746369,4.18E-06,20,79.99634207,79.99634207,7.999634207,8
83,0,0.003653746369,4.18E-06,29.99999791,69.99634416,69.99634416,6.999634416,7
84,0,0.0195948817,0.0195948817,59.96081024,40,40,4,4
85,0,0.01632906808,0.01632906808,0.006531627233,99.96081024,99.96081024,9.996081024,10
86,0,0.0195948817,0.0195948817,0,99.96081024,99.96081024,9.996081024,10
87,8.571777344,34.28710938,17.14111328,0,40,40,4,4
88,11.42822266,45.71289063,22.85888672,0,20,20,2,2
89,0.01052170992,0.02436727285,0.01601308584,0,40,40,4,4
90,0.00506106783,0.01149365655,0.007963954766,0.004869444264,99.97061188,99.97061188,9.997061188,10
91,23.07742084,30.76816189,15.38614565,15.38614565,15.38212597,15.38212597,1.538212597,1.54
92,6.250968622,9.37521801,18.74926365,42.18678305,23.43776667,23.43776667,2.343776667,2.34
93,7.142421835,7.142421835,21.42987802,42.8558361,21.42944221,21.42944221,2.142944221,2.14
94,0.003510358371,0.003510358371,0.00808356789,0.00808356789,99.97681215,99.97681215,9.997681215,10
95,0.003669369836,0.003669369836,0.007680773846,0.00504617735,99.97993431,99.97993431,9.997993431,10
96,0.01530184115,0.01530184115,0.03243428717,0.008566223012,99.92839581,99.92839581,9.992839581,9.99
97,16.66546581,24.99771353,37.50114323,12.50153693,8.334140495,8.334140495,0.8334140495,0.83
98,15.14997581,27.27064633,31.8199219,13.63778091,12.12167505,12.12167505,1.212167505,1.21
